"區域別","65歲以上男","65歲以上女"
"臺北市","143,663","135,282"
"高雄市","62,605","57,656"
"臺北縣","128,478","118,119"
"宜蘭縣","25,973","25,930"
"桃園縣","80,478","57,815"
"新竹縣","24,622","23,339"
"苗栗縣","33,129","33,704"
"臺中縣","60,415","56,857"
"彰化縣","63,769","72,467"
"南投縣","30,685","31,997"
"雲林縣","43,345","52,023"
"嘉義縣","35,823","40,599"
"臺南縣","62,049","66,402"
"高雄縣","58,484","52,657"
"屏東縣","49,353","48,895"
"臺東縣","15,366","13,263"
"花蓮縣","21,843","17,540"
"澎湖縣","6,583","6,906"
"基隆市","18,919","18,356"
"新竹市","17,421","15,965"
"臺中市","36,150","34,270"
"嘉義市","12,422","13,185"
"臺南市","30,604","31,410"
"金門縣","4,090","4,255"
"連江縣","420","465"
"總計","1,066,689","1,029,357"
